word1,word2,n,date
coronavirus,outbreak,11070,2020-01-23T00:00:00Z
wuhan,coronavirus,9126,2020-01-23T00:00:00Z
wuhan,virus,7178,2020-01-23T00:00:00Z
china,coronavirus,6434,2020-01-23T00:00:00Z
wuhan,china,4194,2020-01-23T00:00:00Z
deadly,coronavirus,4015,2020-01-23T00:00:00Z
chinese,coronavirus,3284,2020-01-23T00:00:00Z
china,confirms,3253,2020-01-23T00:00:00Z
human,transmission,2726,2020-01-23T00:00:00Z
hong,kong,2429,2020-01-23T00:00:00Z
death,toll,2405,2020-01-23T00:00:00Z
chinese,city,2355,2020-01-23T00:00:00Z
coronavirus,spreads,2186,2020-01-23T00:00:00Z
deadly,virus,2066,2020-01-23T00:00:00Z
11,million,1980,2020-01-23T00:00:00Z
public,health,1975,2020-01-23T00:00:00Z
2019,ncov,1957,2020-01-23T00:00:00Z
virus,outbreak,1724,2020-01-23T00:00:00Z
million,people,1686,2020-01-23T00:00:00Z
health,emergency,1672,2020-01-23T00:00:00Z
health,officials,1636,2020-01-23T00:00:00Z
china,virus,1456,2020-01-23T00:00:00Z
world,health,1453,2020-01-23T00:00:00Z
bbc,news,1427,2020-01-23T00:00:00Z
public,transport,1350,2020-01-23T00:00:00Z
virus,spreads,1315,2020-01-23T00:00:00Z
amid,coronavirus,1275,2020-01-23T00:00:00Z
coronavirus,reported,1239,2020-01-23T00:00:00Z
coronavirus,fears,1204,2020-01-23T00:00:00Z
corona,virus,1168,2020-01-23T00:00:00Z
coronavirus,confirmed,1133,2020-01-23T00:00:00Z
health,organization,1132,2020-01-23T00:00:00Z
coronavirus,china,1131,2020-01-23T00:00:00Z
bat,soup,1109,2020-01-23T00:00:00Z
south,korea,1099,2020-01-23T00:00:00Z
wuhan,city,1099,2020-01-23T00:00:00Z
coronavirus,2019,1077,2020-01-23T00:00:00Z
coronavirus,death,1035,2020-01-23T00:00:00Z
global,health,1031,2020-01-23T00:00:00Z
wuhan,pneumonia,1027,2020-01-23T00:00:00Z
coronavirus,wuhan,1025,2020-01-23T00:00:00Z
coronavirus,patient,1013,2020-01-23T00:00:00Z
deadly,chinese,946,2020-01-23T00:00:00Z
toll,rises,922,2020-01-23T00:00:00Z
confirmed,coronavirus,912,2020-01-23T00:00:00Z
cdc,confirms,910,2020-01-23T00:00:00Z
coronavirus,spreading,886,2020-01-23T00:00:00Z
chinese,authorities,864,2020-01-23T00:00:00Z
deadly,wuhan,847,2020-01-23T00:00:00Z
china,reports,841,2020-01-23T00:00:00Z
hubei,province,833,2020-01-23T00:00:00Z
confirms,human,832,2020-01-23T00:00:00Z
chinese,cities,827,2020-01-23T00:00:00Z
china,quarantines,824,2020-01-23T00:00:00Z
transmission,confirmed,821,2020-01-23T00:00:00Z
shut,public,788,2020-01-23T00:00:00Z
health,authorities,739,2020-01-23T00:00:00Z
york,times,732,2020-01-23T00:00:00Z
17,people,706,2020-01-23T00:00:00Z
chinese,government,692,2020-01-23T00:00:00Z
wuhan,amid,680,2020-01-23T00:00:00Z
17,deaths,673,2020-01-23T00:00:00Z
emergency,meeting,673,2020-01-23T00:00:00Z
emergency,committee,639,2020-01-23T00:00:00Z
travel,ban,622,2020-01-23T00:00:00Z
potentially,deadly,617,2020-01-23T00:00:00Z
screen,passengers,601,2020-01-23T00:00:00Z
china,wuhan,598,2020-01-23T00:00:00Z
news,coronavirus,596,2020-01-23T00:00:00Z
officials,confirm,572,2020-01-23T00:00:00Z
virus,hit,571,2020-01-23T00:00:00Z
stay,safe,562,2020-01-23T00:00:00Z
chinese,virus,561,2020-01-23T00:00:00Z
chinese,officials,554,2020-01-23T00:00:00Z
disease,control,551,2020-01-23T00:00:00Z
common,cold,545,2020-01-23T00:00:00Z
pneumonia,outbreak,541,2020-01-23T00:00:00Z
killed,17,535,2020-01-23T00:00:00Z
news,china,528,2020-01-23T00:00:00Z
coronavirus,spread,526,2020-01-23T00:00:00Z
suspected,coronavirus,519,2020-01-23T00:00:00Z
coronavirus,detected,514,2020-01-23T00:00:00Z
china,locks,512,2020-01-23T00:00:00Z
patient,identified,500,2020-01-23T00:00:00Z
central,china,491,2020-01-23T00:00:00Z
china,confirmed,483,2020-01-23T00:00:00Z
coronavirus,infection,482,2020-01-23T00:00:00Z
health,commission,482,2020-01-23T00:00:00Z
chinese,people,476,2020-01-23T00:00:00Z
global,emergency,475,2020-01-23T00:00:00Z
spanish,flu,463,2020-01-23T00:00:00Z
wild,animals,459,2020-01-23T00:00:00Z
federal,officials,456,2020-01-23T00:00:00Z
china,linked,451,2020-01-23T00:00:00Z
coronavirus,chinese,448,2020-01-23T00:00:00Z
breaking,news,443,2020-01-23T00:00:00Z
linked,coronavirus,440,2020-01-23T00:00:00Z
outbreak,spreads,438,2020-01-23T00:00:00Z
coronavirus,symptoms,437,2020-01-23T00:00:00Z
seafood,market,436,2020-01-23T00:00:00Z
cdc,expected,431,2020-01-23T00:00:00Z
passengers,arriving,431,2020-01-23T00:00:00Z
respiratory,illness,430,2020-01-23T00:00:00Z
