word1,word2,n,date
covid,19,43558,2021-12-24T00:00:00Z
covid,test,7567,2021-12-24T00:00:00Z
tested,positive,7086,2021-12-24T00:00:00Z
christmas,eve,5892,2021-12-24T00:00:00Z
merry,christmas,5518,2021-12-24T00:00:00Z
fuck,covid,5043,2021-12-24T00:00:00Z
covid,tests,3389,2021-12-24T00:00:00Z
covid,vaccine,3292,2021-12-24T00:00:00Z
omicron,variant,3073,2021-12-24T00:00:00Z
covid,deaths,2220,2021-12-24T00:00:00Z
stay,safe,2125,2021-12-24T00:00:00Z
covid,testing,2051,2021-12-24T00:00:00Z
covid,patients,1930,2021-12-24T00:00:00Z
19,vaccine,1877,2021-12-24T00:00:00Z
covid,positive,1825,2021-12-24T00:00:00Z
health,care,1757,2021-12-24T00:00:00Z
test,positive,1755,2021-12-24T00:00:00Z
catch,covid,1631,2021-12-24T00:00:00Z
caught,covid,1630,2021-12-24T00:00:00Z
public,health,1611,2021-12-24T00:00:00Z
covid,booster,1594,2021-12-24T00:00:00Z
covid,vaccines,1566,2021-12-24T00:00:00Z
covid,christmas,1504,2021-12-24T00:00:00Z
covid,list,1501,2021-12-24T00:00:00Z
home,covid,1475,2021-12-24T00:00:00Z
covid,free,1430,2021-12-24T00:00:00Z
catching,covid,1395,2021-12-24T00:00:00Z
10,days,1372,2021-12-24T00:00:00Z
fck,covid,1365,2021-12-24T00:00:00Z
positive,covid,1318,2021-12-24T00:00:00Z
covid,parent,1313,2021-12-24T00:00:00Z
vaccinated,people,1302,2021-12-24T00:00:00Z
testing,positive,1294,2021-12-24T00:00:00Z
christmas,day,1277,2021-12-24T00:00:00Z
global,pandemic,1254,2021-12-24T00:00:00Z
covid,omicron,1248,2021-12-24T00:00:00Z
stay,home,1223,2021-12-24T00:00:00Z
19,pandemic,1203,2021-12-24T00:00:00Z
covid,protocols,1168,2021-12-24T00:00:00Z
happy,holidays,1156,2021-12-24T00:00:00Z
care,workers,1125,2021-12-24T00:00:00Z
basil,ireton,1118,2021-12-24T00:00:00Z
gordon,dhg,1118,2021-12-24T00:00:00Z
ericwil06256732,wildweatherdan,1116,2021-12-24T00:00:00Z
thisisnothappen,basil,1116,2021-12-24T00:00:00Z
tragiicomedy,covid,1116,2021-12-24T00:00:00Z
natural,immunity,1114,2021-12-24T00:00:00Z
holiday,season,1113,2021-12-24T00:00:00Z
moderna5g,666,1113,2021-12-24T00:00:00Z
guygadboisguyg1,thisisnothappen,1112,2021-12-24T00:00:00Z
stephen04880258,guygadboisguyg1,1112,2021-12-24T00:00:00Z
dan613,boeing74,1109,2021-12-24T00:00:00Z
rln,nelson,1108,2021-12-24T00:00:00Z
oakden,wolf,1094,2021-12-24T00:00:00Z
wildweatherdan,robhon,1094,2021-12-24T00:00:00Z
pcr,test,1093,2021-12-24T00:00:00Z
davidtayloryork,gordon,1088,2021-12-24T00:00:00Z
l0sts0ulforever,moderna5g,1085,2021-12-24T00:00:00Z
sandcastle1975,halbrow68884227,1085,2021-12-24T00:00:00Z
boeing74,oakden,1081,2021-12-24T00:00:00Z
tested,negative,1078,2021-12-24T00:00:00Z
dawntj90,bluepittie,1061,2021-12-24T00:00:00Z
covid,related,1059,2021-12-24T00:00:00Z
91996340e81d45a,plhartungrn,1043,2021-12-24T00:00:00Z
plhartungrn,ponycar06,1043,2021-12-24T00:00:00Z
common,cold,1007,2021-12-24T00:00:00Z
robhon,try2golf,1000,2021-12-24T00:00:00Z
spread,covid,998,2021-12-24T00:00:00Z
keithamccluskey,l0sts0ulforever,990,2021-12-24T00:00:00Z
twtthisisnow,tragiicomedy,984,2021-12-24T00:00:00Z
covid,shit,982,2021-12-24T00:00:00Z
immune,system,968,2021-12-24T00:00:00Z
covid,symptoms,963,2021-12-24T00:00:00Z
try2golf,ejwwest,961,2021-12-24T00:00:00Z
bluepittie,keithamccluskey,949,2021-12-24T00:00:00Z
covid,restrictions,945,2021-12-24T00:00:00Z
speedy,recovery,944,2021-12-24T00:00:00Z
healthcare,workers,938,2021-12-24T00:00:00Z
negative,covid,937,2021-12-24T00:00:00Z
spreading,covid,928,2021-12-24T00:00:00Z
ejwwest,twtthisisnow,923,2021-12-24T00:00:00Z
south,africa,920,2021-12-24T00:00:00Z
mental,health,909,2021-12-24T00:00:00Z
post,covid,909,2021-12-24T00:00:00Z
19,list,908,2021-12-24T00:00:00Z
booster,shot,879,2021-12-24T00:00:00Z
covid,fuck,870,2021-12-24T00:00:00Z
boxing,day,867,2021-12-24T00:00:00Z
ponycar06,dawntj90,857,2021-12-24T00:00:00Z
covid,outbreak,856,2021-12-24T00:00:00Z
covid,death,850,2021-12-24T00:00:00Z
2,weeks,840,2021-12-24T00:00:00Z
organicdot,robmeekel,840,2021-12-24T00:00:00Z
12,21,835,2021-12-24T00:00:00Z
covid,pandemic,820,2021-12-24T00:00:00Z
eve,flights,814,2021-12-24T00:00:00Z
halbrow68884227,aristotlemrs,813,2021-12-24T00:00:00Z
chimera414,91996340e81d45a,805,2021-12-24T00:00:00Z
2021,12,798,2021-12-24T00:00:00Z
rapid,tests,792,2021-12-24T00:00:00Z
tests,positive,789,2021-12-24T00:00:00Z
covid,isn,778,2021-12-24T00:00:00Z
jimdtweet,kenneth72712993,774,2021-12-24T00:00:00Z
spend,christmas,772,2021-12-24T00:00:00Z
amcelha3,bigrakadoc,768,2021-12-24T00:00:00Z
19,vaccines,760,2021-12-24T00:00:00Z
rapid,test,760,2021-12-24T00:00:00Z
bigrakadoc,organicdot,759,2021-12-24T00:00:00Z
happy,christmas,757,2021-12-24T00:00:00Z
white,house,757,2021-12-24T00:00:00Z
covid,surge,756,2021-12-24T00:00:00Z
bts,twt,754,2021-12-24T00:00:00Z
canadianworker2,rln,751,2021-12-24T00:00:00Z
daily,covid,749,2021-12-24T00:00:00Z
test,results,740,2021-12-24T00:00:00Z
19,vaccination,739,2021-12-24T00:00:00Z
1,2,729,2021-12-24T00:00:00Z
2,days,719,2021-12-24T00:00:00Z
health,data,704,2021-12-24T00:00:00Z
24,hours,686,2021-12-24T00:00:00Z
covid,variant,685,2021-12-24T00:00:00Z
data,covid19,682,2021-12-24T00:00:00Z
21,covid,680,2021-12-24T00:00:00Z
analytics,team,680,2021-12-24T00:00:00Z
publichealth,covid,680,2021-12-24T00:00:00Z
covid19,publichealth,679,2021-12-24T00:00:00Z
datavisualization,datascience,679,2021-12-24T00:00:00Z
analytics,health,678,2021-12-24T00:00:00Z
covid,insights,678,2021-12-24T00:00:00Z
datascience,analytics,678,2021-12-24T00:00:00Z
omicron,globalhealth,678,2021-12-24T00:00:00Z
usafacts,datavisualization,678,2021-12-24T00:00:00Z
rapid,covid,675,2021-12-24T00:00:00Z
boris,johnson,674,2021-12-24T00:00:00Z
iandjbrown2,canadianworker2,672,2021-12-24T00:00:00Z
spending,christmas,665,2021-12-24T00:00:00Z
kenneth72712993,narvuntien,656,2021-12-24T00:00:00Z
million,people,656,2021-12-24T00:00:00Z
covid,doesn,651,2021-12-24T00:00:00Z
3,days,640,2021-12-24T00:00:00Z
anti,vaxxers,636,2021-12-24T00:00:00Z
amid,covid,635,2021-12-24T00:00:00Z
anti,vax,629,2021-12-24T00:00:00Z
omicron,covid,614,2021-12-24T00:00:00Z
booster,shots,612,2021-12-24T00:00:00Z
test,kits,612,2021-12-24T00:00:00Z
covid,vaccination,609,2021-12-24T00:00:00Z
premier,league,603,2021-12-24T00:00:00Z
covid,covid,602,2021-12-24T00:00:00Z
wear,masks,600,2021-12-24T00:00:00Z
hate,covid,599,2021-12-24T00:00:00Z
amid,omicron,598,2021-12-24T00:00:00Z
days,ago,596,2021-12-24T00:00:00Z
months,ago,595,2021-12-24T00:00:00Z
covid,protocol,586,2021-12-24T00:00:00Z
johndublin10,amcelha3,585,2021-12-24T00:00:00Z
reserve,covid,582,2021-12-24T00:00:00Z
unvaccinated,people,582,2021-12-24T00:00:00Z
covid,shot,577,2021-12-24T00:00:00Z
bolzmannmichael,chimera414,567,2021-12-24T00:00:00Z
jesus,christ,566,2021-12-24T00:00:00Z
4clearsky,iandjbrown2,565,2021-12-24T00:00:00Z
