word1,word2,n,date
covid,19,37252,2022-02-03T00:00:00Z
covid,deaths,3797,2022-02-03T00:00:00Z
covid,test,3617,2022-02-03T00:00:00Z
covid,vaccine,3300,2022-02-03T00:00:00Z
19,vaccine,2626,2022-02-03T00:00:00Z
covid,restrictions,2423,2022-02-03T00:00:00Z
tested,positive,2293,2022-02-03T00:00:00Z
public,health,1987,2022-02-03T00:00:00Z
covid,tests,1895,2022-02-03T00:00:00Z
19,pandemic,1862,2022-02-03T00:00:00Z
covid,vaccines,1472,2022-02-03T00:00:00Z
covid,death,1421,2022-02-03T00:00:00Z
global,pandemic,1375,2022-02-03T00:00:00Z
post,covid,1318,2022-02-03T00:00:00Z
covid,positive,1239,2022-02-03T00:00:00Z
joe,rogan,1224,2022-02-03T00:00:00Z
mental,health,1190,2022-02-03T00:00:00Z
johns,hopkins,1157,2022-02-03T00:00:00Z
aged,care,1061,2022-02-03T00:00:00Z
covid,patients,1053,2022-02-03T00:00:00Z
19,vaccination,1016,2022-02-03T00:00:00Z
caught,covid,977,2022-02-03T00:00:00Z
covid,pandemic,970,2022-02-03T00:00:00Z
death,rate,959,2022-02-03T00:00:00Z
health,care,943,2022-02-03T00:00:00Z
covid,related,933,2022-02-03T00:00:00Z
triple,vaxxed,933,2022-02-03T00:00:00Z
anti,vax,871,2022-02-03T00:00:00Z
catch,covid,860,2022-02-03T00:00:00Z
covid,omicron,845,2022-02-03T00:00:00Z
covid,vaccination,832,2022-02-03T00:00:00Z
2022,02,825,2022-02-03T00:00:00Z
19,vaccines,809,2022-02-03T00:00:00Z
natural,immunity,780,2022-02-03T00:00:00Z
home,covid,779,2022-02-03T00:00:00Z
post,pandemic,746,2022-02-03T00:00:00Z
covid,free,745,2022-02-03T00:00:00Z
health,data,743,2022-02-03T00:00:00Z
02,01,727,2022-02-03T00:00:00Z
covid,insights,716,2022-02-03T00:00:00Z
data,covid19,715,2022-02-03T00:00:00Z
covid19,publichealth,714,2022-02-03T00:00:00Z
publichealth,covid,713,2022-02-03T00:00:00Z
analytics,health,712,2022-02-03T00:00:00Z
analytics,team,712,2022-02-03T00:00:00Z
datascience,analytics,712,2022-02-03T00:00:00Z
datavisualization,datascience,712,2022-02-03T00:00:00Z
omicron,globalhealth,712,2022-02-03T00:00:00Z
usafacts,datavisualization,712,2022-02-03T00:00:00Z
free,covid,709,2022-02-03T00:00:00Z
01,covid,706,2022-02-03T00:00:00Z
covid,misinformation,703,2022-02-03T00:00:00Z
spread,covid,697,2022-02-03T00:00:00Z
covid,rules,677,2022-02-03T00:00:00Z
1,2,675,2022-02-03T00:00:00Z
covid,response,664,2022-02-03T00:00:00Z
pre,covid,657,2022-02-03T00:00:00Z
2,weeks,654,2022-02-03T00:00:00Z
19,deaths,649,2022-02-03T00:00:00Z
covid,infection,638,2022-02-03T00:00:00Z
covid,testing,632,2022-02-03T00:00:00Z
19,tests,628,2022-02-03T00:00:00Z
immune,system,601,2022-02-03T00:00:00Z
covid,symptoms,593,2022-02-03T00:00:00Z
omicron,variant,588,2022-02-03T00:00:00Z
covid,mandates,583,2022-02-03T00:00:00Z
24,hours,582,2022-02-03T00:00:00Z
vaccinated,people,582,2022-02-03T00:00:00Z
boris,johnson,575,2022-02-03T00:00:00Z
00pm,03,570,2022-02-03T00:00:00Z
pandemic,learn,570,2022-02-03T00:00:00Z
pre,pandemic,570,2022-02-03T00:00:00Z
0,2,569,2022-02-03T00:00:00Z
wear,masks,567,2022-02-03T00:00:00Z
03,00pm,565,2022-02-03T00:00:00Z
catching,covid,564,2022-02-03T00:00:00Z
increasing,prices,559,2022-02-03T00:00:00Z
inventories,increasing,559,2022-02-03T00:00:00Z
low,inventories,559,2022-02-03T00:00:00Z
market,low,559,2022-02-03T00:00:00Z
purchase,homes,559,2022-02-03T00:00:00Z
03,30pm,555,2022-02-03T00:00:00Z
hopkins,study,549,2022-02-03T00:00:00Z
weeks,ago,549,2022-02-03T00:00:00Z
sars,cov,545,2022-02-03T00:00:00Z
test,positive,530,2022-02-03T00:00:00Z
30pm,03,527,2022-02-03T00:00:00Z
people,died,526,2022-02-03T00:00:00Z
cov,2,525,2022-02-03T00:00:00Z
positive,covid,523,2022-02-03T00:00:00Z
white,house,522,2022-02-03T00:00:00Z
climate,change,518,2022-02-03T00:00:00Z
19,testing,515,2022-02-03T00:00:00Z
death,toll,515,2022-02-03T00:00:00Z
pandemic,started,515,2022-02-03T00:00:00Z
stay,home,510,2022-02-03T00:00:00Z
daily,covid,509,2022-02-03T00:00:00Z
covid19,pandemic,506,2022-02-03T00:00:00Z
spreading,covid,505,2022-02-03T00:00:00Z
covid,policy,500,2022-02-03T00:00:00Z
19,restrictions,497,2022-02-03T00:00:00Z
12,30pm,491,2022-02-03T00:00:00Z
19,test,491,2022-02-03T00:00:00Z
covid,relief,490,2022-02-03T00:00:00Z
confirmed,covid,487,2022-02-03T00:00:00Z
reduced,covid,485,2022-02-03T00:00:00Z
supply,chain,484,2022-02-03T00:00:00Z
stop,covid,482,2022-02-03T00:00:00Z
social,media,479,2022-02-03T00:00:00Z
prime,minister,476,2022-02-03T00:00:00Z
6,months,473,2022-02-03T00:00:00Z
100,days,470,2022-02-03T00:00:00Z
02,30pm,465,2022-02-03T00:00:00Z
test,kits,465,2022-02-03T00:00:00Z
covid,isn,463,2022-02-03T00:00:00Z
