lang,n,date
en,179506,2020-01-23
es,102095,2020-01-23
pt,19200,2020-01-23
fr,15795,2020-01-23
und,14700,2020-01-23
tr,8994,2020-01-23
it,5667,2020-01-23
in,4932,2020-01-23
tl,4789,2020-01-23
de,4098,2020-01-23
ja,3114,2020-01-23
ca,2783,2020-01-23
nl,2445,2020-01-23
zh,1771,2020-01-23
lt,1665,2020-01-23
ro,900,2020-01-23
th,844,2020-01-23
pl,611,2020-01-23
da,445,2020-01-23
et,368,2020-01-23
sv,349,2020-01-23
fi,346,2020-01-23
hi,340,2020-01-23
ru,329,2020-01-23
ar,324,2020-01-23
cs,264,2020-01-23
fa,212,2020-01-23
ta,191,2020-01-23
ht,184,2020-01-23
el,141,2020-01-23
ur,123,2020-01-23
vi,118,2020-01-23
ko,112,2020-01-23
ml,81,2020-01-23
sl,71,2020-01-23
eu,61,2020-01-23
no,52,2020-01-23
lv,46,2020-01-23
bn,42,2020-01-23
cy,38,2020-01-23
ne,35,2020-01-23
gu,29,2020-01-23
kn,25,2020-01-23
mr,25,2020-01-23
km,22,2020-01-23
si,22,2020-01-23
hu,21,2020-01-23
iw,21,2020-01-23
my,21,2020-01-23
pa,21,2020-01-23
te,20,2020-01-23
is,16,2020-01-23
uk,15,2020-01-23
or,11,2020-01-23
bg,9,2020-01-23
sr,9,2020-01-23
ps,6,2020-01-23
ckb,4,2020-01-23
ka,4,2020-01-23
dv,3,2020-01-23
am,2,2020-01-23
bo,2,2020-01-23
sd,2,2020-01-23
lo,1,2020-01-23
