lang,n,date
en,308203,2021-06-11
es,66840,2021-06-11
pt,42134,2021-06-11
in,16922,2021-06-11
fr,13025,2021-06-11
und,12950,2021-06-11
it,9393,2021-06-11
ja,5077,2021-06-11
de,4514,2021-06-11
tl,4226,2021-06-11
tr,3509,2021-06-11
hi,2974,2021-06-11
nl,2842,2021-06-11
pl,1627,2021-06-11
ca,1625,2021-06-11
ru,1498,2021-06-11
ta,1081,2021-06-11
el,953,2021-06-11
th,762,2021-06-11
et,724,2021-06-11
sv,539,2021-06-11
ar,531,2021-06-11
ro,516,2021-06-11
zh,502,2021-06-11
cs,497,2021-06-11
ht,373,2021-06-11
mr,368,2021-06-11
ko,338,2021-06-11
kn,327,2021-06-11
vi,301,2021-06-11
ml,285,2021-06-11
lv,243,2021-06-11
da,242,2021-06-11
fi,242,2021-06-11
uk,223,2021-06-11
bn,216,2021-06-11
te,163,2021-06-11
no,149,2021-06-11
gu,146,2021-06-11
cy,126,2021-06-11
sl,116,2021-06-11
or,115,2021-06-11
ur,110,2021-06-11
ne,95,2021-06-11
eu,78,2021-06-11
lt,72,2021-06-11
fa,55,2021-06-11
si,54,2021-06-11
pa,50,2021-06-11
is,49,2021-06-11
hu,35,2021-06-11
iw,30,2021-06-11
bg,28,2021-06-11
my,26,2021-06-11
sr,19,2021-06-11
km,9,2021-06-11
lo,4,2021-06-11
ckb,2,2021-06-11
hy,2,2021-06-11
ka,2,2021-06-11
ps,2,2021-06-11
am,1,2021-06-11
dv,1,2021-06-11
sd,1,2021-06-11
