word1,word2,word3,n,date
covid,19,pandemic,6744,2020-06-08T00:00:00Z
covid,19,crisis,2192,2020-06-08T00:00:00Z
covid,19,patients,1563,2020-06-08T00:00:00Z
post,covid,19,1494,2020-06-08T00:00:00Z
covid,19,deaths,1462,2020-06-08T00:00:00Z
covid,19,restrictions,1233,2020-06-08T00:00:00Z
covid,19,testing,1181,2020-06-08T00:00:00Z
black,lives,matter,1070,2020-06-08T00:00:00Z
covid,19,test,1067,2020-06-08T00:00:00Z
covid,19,outbreak,1032,2020-06-08T00:00:00Z
covid,19,vaccine,964,2020-06-08T00:00:00Z
covid,19,death,908,2020-06-08T00:00:00Z
511,epidemiologists,expect,889,2020-06-08T00:00:00Z
covid,19,lockdown,885,2020-06-08T00:00:00Z
amid,covid,19,836,2020-06-08T00:00:00Z
bbc,news,coronavirus,814,2020-06-08T00:00:00Z
covid,19,update,812,2020-06-08T00:00:00Z
covid,19,free,806,2020-06-08T00:00:00Z
prevented,60,million,787,2020-06-08T00:00:00Z
shutdowns,prevented,60,771,2020-06-08T00:00:00Z
coronavirus,covid,19,756,2020-06-08T00:00:00Z
60,million,coronavirus,754,2020-06-08T00:00:00Z
million,coronavirus,infections,714,2020-06-08T00:00:00Z
covid,19,response,708,2020-06-08T00:00:00Z
claims,report,proves,643,2020-06-08T00:00:00Z
report,proves,coronavirus,643,2020-06-08T00:00:00Z
norway,scientist,claims,640,2020-06-08T00:00:00Z
scientist,claims,report,639,2020-06-08T00:00:00Z
covid,19,related,633,2020-06-08T00:00:00Z
covid,ー,19,622,2020-06-08T00:00:00Z
covid,19,positive,601,2020-06-08T00:00:00Z
covid,19,impact,581,2020-06-08T00:00:00Z
covid,19,virus,568,2020-06-08T00:00:00Z
june,8,2020,554,2020-06-08T00:00:00Z
19,death,toll,547,2020-06-08T00:00:00Z
world,health,organization,532,2020-06-08T00:00:00Z
covid,19,situation,530,2020-06-08T00:00:00Z
fight,covid,19,506,2020-06-08T00:00:00Z
active,covid,19,468,2020-06-08T00:00:00Z
sars,cov,2,460,2020-06-08T00:00:00Z
covid,19,data,436,2020-06-08T00:00:00Z
covid,19,tests,432,2020-06-08T00:00:00Z
declared,virus,free,426,2020-06-08T00:00:00Z
covid,19,relief,424,2020-06-08T00:00:00Z
covid,19,infections,419,2020-06-08T00:00:00Z
nation,declared,virus,415,2020-06-08T00:00:00Z
covid,19,coronavirus,410,2020-06-08T00:00:00Z
monday,june,8,402,2020-06-08T00:00:00Z
covid,19,infection,390,2020-06-08T00:00:00Z
drops,covid,19,390,2020-06-08T00:00:00Z
brazil,stops,releasing,388,2020-06-08T00:00:00Z
confirmed,covid,19,388,2020-06-08T00:00:00Z
zealand,drops,covid,385,2020-06-08T00:00:00Z
coronavirus,live,updates,383,2020-06-08T00:00:00Z
resume,trademark,campaign,382,2020-06-08T00:00:00Z
trademark,campaign,rallies,382,2020-06-08T00:00:00Z
releasing,covid,19,381,2020-06-08T00:00:00Z
coronavirus,death,toll,379,2020-06-08T00:00:00Z
covid,19,recovery,374,2020-06-08T00:00:00Z
stops,releasing,covid,368,2020-06-08T00:00:00Z
0208,090,2121,360,2020-06-08T00:00:00Z
empower,educate,talk,360,2020-06-08T00:00:00Z
entertain,empower,educate,360,2020-06-08T00:00:00Z
fantasticradiocouk,fantasticradiouk,homeofpossibilities,360,2020-06-08T00:00:00Z
fantasticradiouk,homeofpossibilities,believeyourpossibilities,360,2020-06-08T00:00:00Z
homeofpossibilities,believeyourpossibilities,stayhomesafelives,360,2020-06-08T00:00:00Z
uk,travel,quarantine,352,2020-06-08T00:00:00Z
post,covid,world,341,2020-06-08T00:00:00Z
travel,quarantine,rules,333,2020-06-08T00:00:00Z
covid,19,world,332,2020-06-08T00:00:00Z
satellite,data,suggests,330,2020-06-08T00:00:00Z
covid,19,updates,326,2020-06-08T00:00:00Z
nation,virus,free,322,2020-06-08T00:00:00Z
positive,covid,19,322,2020-06-08T00:00:00Z
covid,19,patient,318,2020-06-08T00:00:00Z
covid,restrictions,declaring,316,2020-06-08T00:00:00Z
george,floyd,protests,308,2020-06-08T00:00:00Z
uk,coronavirus,victims,307,2020-06-08T00:00:00Z
data,suggests,coronavirus,302,2020-06-08T00:00:00Z
covid,19,era,289,2020-06-08T00:00:00Z
prime,minister,jacinda,279,2020-06-08T00:00:00Z
coronavirus,situation,worsening,274,2020-06-08T00:00:00Z
covid,19,treatment,273,2020-06-08T00:00:00Z
fighting,covid,19,269,2020-06-08T00:00:00Z
situation,worsening,worldwide,269,2020-06-08T00:00:00Z
minister,jacinda,ardern,268,2020-06-08T00:00:00Z
covid,19,symptoms,259,2020-06-08T00:00:00Z
free,covid,19,258,2020-06-08T00:00:00Z
cm,arvind,kejriwal,257,2020-06-08T00:00:00Z
health,care,workers,250,2020-06-08T00:00:00Z
spread,covid,19,246,2020-06-08T00:00:00Z
cut,10000,jobs,244,2020-06-08T00:00:00Z
spreading,covid,19,244,2020-06-08T00:00:00Z
covid,19,spread,243,2020-06-08T00:00:00Z
hit,china,earlier,243,2020-06-08T00:00:00Z
covid,19,safety,240,2020-06-08T00:00:00Z
june,08,2020,240,2020-06-08T00:00:00Z
14,day,quarantine,232,2020-06-08T00:00:00Z
covid,19,drug,232,2020-06-08T00:00:00Z
past,24,hours,232,2020-06-08T00:00:00Z
china,earlier,researchers,227,2020-06-08T00:00:00Z
job,retention,scheme,226,2020-06-08T00:00:00Z
covid,19,read,221,2020-06-08T00:00:00Z
archbishop,urges,trump,220,2020-06-08T00:00:00Z
rome,archbishop,urges,220,2020-06-08T00:00:00Z
covid,19,guidelines,215,2020-06-08T00:00:00Z
global,covid,19,213,2020-06-08T00:00:00Z
current,covid,19,212,2020-06-08T00:00:00Z
covid,19,covid19,210,2020-06-08T00:00:00Z
amid,coronavirus,pandemic,209,2020-06-08T00:00:00Z
delhi,cm,arvind,209,2020-06-08T00:00:00Z
alert,level,1,208,2020-06-08T00:00:00Z
ikpeazu,tests,positive,208,2020-06-08T00:00:00Z
prevent,covid,19,205,2020-06-08T00:00:00Z
news,coronavirus,covid19,204,2020-06-08T00:00:00Z
coronavirus,narrative,overnight,203,2020-06-08T00:00:00Z
undergo,covid,19,200,2020-06-08T00:00:00Z
covid,19,daily,198,2020-06-08T00:00:00Z
global,pandemic,news,198,2020-06-08T00:00:00Z
pandemic,news,coronavirus,198,2020-06-08T00:00:00Z
gt,gt,gt,195,2020-06-08T00:00:00Z
lives,matter,protests,195,2020-06-08T00:00:00Z
worsening,worldwide,covid19,192,2020-06-08T00:00:00Z
covid,19,contact,191,2020-06-08T00:00:00Z
coronavirus,job,retention,186,2020-06-08T00:00:00Z
covid,19,lockdowns,185,2020-06-08T00:00:00Z
pandemic,covid,19,185,2020-06-08T00:00:00Z
beat,covid,19,182,2020-06-08T00:00:00Z
coronavirus,coronavirusupdate,covid19,180,2020-06-08T00:00:00Z
coronavirusupdate,covid19,coronaviruspandemic,179,2020-06-08T00:00:00Z
gmt,coronavirus,coronavirusupdate,179,2020-06-08T00:00:00Z
covid,19,economic,176,2020-06-08T00:00:00Z
riots,looting,destruction,176,2020-06-08T00:00:00Z
combat,covid,19,174,2020-06-08T00:00:00Z
massive,riots,looting,174,2020-06-08T00:00:00Z
zealand,prime,minister,173,2020-06-08T00:00:00Z
social,distancing,guidelines,172,2020-06-08T00:00:00Z
unveiled,massive,riots,172,2020-06-08T00:00:00Z
8,june,2020,171,2020-06-08T00:00:00Z
corrupt,world,health,171,2020-06-08T00:00:00Z
2020,06,08,170,2020-06-08T00:00:00Z
covid,19,health,168,2020-06-08T00:00:00Z
restart,maga,rallies,168,2020-06-08T00:00:00Z
york,city,begins,168,2020-06-08T00:00:00Z
daily,covid,19,167,2020-06-08T00:00:00Z
severe,covid,19,167,2020-06-08T00:00:00Z
covid,19,shutdown,166,2020-06-08T00:00:00Z
covid,19,stats,166,2020-06-08T00:00:00Z
coronavirus,disease,2019,161,2020-06-08T00:00:00Z
hour,pandemic,pay,161,2020-06-08T00:00:00Z
19,contact,tracing,160,2020-06-08T00:00:00Z
covid,19,epidemic,160,2020-06-08T00:00:00Z
global,coronavirus,deaths,160,2020-06-08T00:00:00Z
08,06,2020,159,2020-06-08T00:00:00Z
governor,tests,positive,159,2020-06-08T00:00:00Z
single,day,spike,158,2020-06-08T00:00:00Z
coronavirus,live,news,157,2020-06-08T00:00:00Z
covid,19,hit,157,2020-06-08T00:00:00Z
earlier,researchers,abc,157,2020-06-08T00:00:00Z
inconvenience,kindly,dm,157,2020-06-08T00:00:00Z
june,7,2020,157,2020-06-08T00:00:00Z
8th,june,2020,155,2020-06-08T00:00:00Z
amidst,covid,19,155,2020-06-08T00:00:00Z
researchers,abc,news,155,2020-06-08T00:00:00Z
covid,19,emergency,154,2020-06-08T00:00:00Z
zealand,covid,19,154,2020-06-08T00:00:00Z
total,covid,19,153,2020-06-08T00:00:00Z
shahid,khaqan,abbasi,151,2020-06-08T00:00:00Z
coronavirus,relief,package,150,2020-06-08T00:00:00Z
covid,19,research,150,2020-06-08T00:00:00Z
jellyfish,coronavirus,waste,150,2020-06-08T00:00:00Z
europe,saved,millions,144,2020-06-08T00:00:00Z
covid,19,quarantine,143,2020-06-08T00:00:00Z
40,million,unemployed,142,2020-06-08T00:00:00Z
economy,officially,entered,142,2020-06-08T00:00:00Z
asymptomatic,coronavirus,patients,141,2020-06-08T00:00:00Z
19,drug,runs,140,2020-06-08T00:00:00Z
2020,covid,19,140,2020-06-08T00:00:00Z
covid,19,antibody,139,2020-06-08T00:00:00Z
israeli,apartheid,axadivest,139,2020-06-08T00:00:00Z
