word1,n,date
coronavirus,130819,2020-01-23T00:00:00Z
wuhan,59762,2020-01-23T00:00:00Z
china,53359,2020-01-23T00:00:00Z
virus,29742,2020-01-23T00:00:00Z
outbreak,21651,2020-01-23T00:00:00Z
chinese,18804,2020-01-23T00:00:00Z
people,16991,2020-01-23T00:00:00Z
health,12928,2020-01-23T00:00:00Z
city,11491,2020-01-23T00:00:00Z
spread,11478,2020-01-23T00:00:00Z
deadly,10653,2020-01-23T00:00:00Z
confirmed,10527,2020-01-23T00:00:00Z
news,8460,2020-01-23T00:00:00Z
travel,6884,2020-01-23T00:00:00Z
chinas,6291,2020-01-23T00:00:00Z
cdc,6052,2020-01-23T00:00:00Z
infected,6022,2020-01-23T00:00:00Z
confirms,5987,2020-01-23T00:00:00Z
world,5705,2020-01-23T00:00:00Z
,5672,2020-01-23T00:00:00Z
public,5482,2020-01-23T00:00:00Z
sars,5228,2020-01-23T00:00:00Z
reported,4931,2020-01-23T00:00:00Z
spreads,4859,2020-01-23T00:00:00Z
officials,4805,2020-01-23T00:00:00Z
17,4745,2020-01-23T00:00:00Z
spreading,4681,2020-01-23T00:00:00Z
emergency,4655,2020-01-23T00:00:00Z
global,4354,2020-01-23T00:00:00Z
death,4324,2020-01-23T00:00:00Z
dont,4277,2020-01-23T00:00:00Z
lockdown,4195,2020-01-23T00:00:00Z
im,4150,2020-01-23T00:00:00Z
cities,4100,2020-01-23T00:00:00Z
disease,4016,2020-01-23T00:00:00Z
passengers,3870,2020-01-23T00:00:00Z
pneumonia,3836,2020-01-23T00:00:00Z
airports,3785,2020-01-23T00:00:00Z
time,3767,2020-01-23T00:00:00Z
washington,3696,2020-01-23T00:00:00Z
authorities,3616,2020-01-23T00:00:00Z
million,3615,2020-01-23T00:00:00Z
transmission,3508,2020-01-23T00:00:00Z
fears,3485,2020-01-23T00:00:00Z
flights,3388,2020-01-23T00:00:00Z
screening,3378,2020-01-23T00:00:00Z
symptoms,3122,2020-01-23T00:00:00Z
quarantine,3117,2020-01-23T00:00:00Z
market,3097,2020-01-23T00:00:00Z
human,3094,2020-01-23T00:00:00Z
airport,3068,2020-01-23T00:00:00Z
reports,3022,2020-01-23T00:00:00Z
flu,2977,2020-01-23T00:00:00Z
stop,2878,2020-01-23T00:00:00Z
killed,2845,2020-01-23T00:00:00Z
live,2802,2020-01-23T00:00:00Z
amid,2787,2020-01-23T00:00:00Z
patient,2752,2020-01-23T00:00:00Z
countries,2727,2020-01-23T00:00:00Z
deaths,2721,2020-01-23T00:00:00Z
humantohuman,2716,2020-01-23T00:00:00Z
humans,2629,2020-01-23T00:00:00Z
identified,2604,2020-01-23T00:00:00Z
uk,2594,2020-01-23T00:00:00Z
government,2562,2020-01-23T00:00:00Z
3,2548,2020-01-23T00:00:00Z
breaking,2547,2020-01-23T00:00:00Z
toll,2545,2020-01-23T00:00:00Z
control,2501,2020-01-23T00:00:00Z
beijing,2480,2020-01-23T00:00:00Z
who,2468,2020-01-23T00:00:00Z
snakes,2459,2020-01-23T00:00:00Z
2,2455,2020-01-23T00:00:00Z
hong,2435,2020-01-23T00:00:00Z
2019ncov,2429,2020-01-23T00:00:00Z
suspected,2422,2020-01-23T00:00:00Z
pandemic,2404,2020-01-23T00:00:00Z
corona,2353,2020-01-23T00:00:00Z
shut,2307,2020-01-23T00:00:00Z
infection,2304,2020-01-23T00:00:00Z
kong,2279,2020-01-23T00:00:00Z
hospital,2274,2020-01-23T00:00:00Z
transport,2237,2020-01-23T00:00:00Z
person,2234,2020-01-23T00:00:00Z
epidemic,2215,2020-01-23T00:00:00Z
patients,2167,2020-01-23T00:00:00Z
tested,2149,2020-01-23T00:00:00Z
11,2121,2020-01-23T00:00:00Z
risk,2081,2020-01-23T00:00:00Z
international,2080,2020-01-23T00:00:00Z
dead,2079,2020-01-23T00:00:00Z
country,2065,2020-01-23T00:00:00Z
heres,2052,2020-01-23T00:00:00Z
united,2029,2020-01-23T00:00:00Z
wuhancoronavirus,2027,2020-01-23T00:00:00Z
coronavirusoutbreak,1999,2020-01-23T00:00:00Z
medical,1938,2020-01-23T00:00:00Z
japan,1929,2020-01-23T00:00:00Z
strain,1926,2020-01-23T00:00:00Z
due,1918,2020-01-23T00:00:00Z
bat,1911,2020-01-23T00:00:00Z
alert,1890,2020-01-23T00:00:00Z
illness,1870,2020-01-23T00:00:00Z
cnn,1869,2020-01-23T00:00:00Z
korea,1863,2020-01-23T00:00:00Z
stay,1830,2020-01-23T00:00:00Z
asia,1822,2020-01-23T00:00:00Z
days,1822,2020-01-23T00:00:00Z
masks,1817,2020-01-23T00:00:00Z
quarantined,1815,2020-01-23T00:00:00Z
media,1814,2020-01-23T00:00:00Z
source,1805,2020-01-23T00:00:00Z
measures,1801,2020-01-23T00:00:00Z
1,1794,2020-01-23T00:00:00Z
vaccine,1775,2020-01-23T00:00:00Z
province,1766,2020-01-23T00:00:00Z
coming,1764,2020-01-23T00:00:00Z
hope,1757,2020-01-23T00:00:00Z
found,1727,2020-01-23T00:00:00Z
trump,1711,2020-01-23T00:00:00Z
respiratory,1706,2020-01-23T00:00:00Z
bbc,1695,2020-01-23T00:00:00Z
animals,1694,2020-01-23T00:00:00Z
markets,1691,2020-01-23T00:00:00Z
thailand,1684,2020-01-23T00:00:00Z
wuhanpneumonia,1676,2020-01-23T00:00:00Z
times,1672,2020-01-23T00:00:00Z
update,1657,2020-01-23T00:00:00Z
2020,1649,2020-01-23T00:00:00Z
mysterious,1647,2020-01-23T00:00:00Z
1st,1644,2020-01-23T00:00:00Z
bats,1619,2020-01-23T00:00:00Z
experts,1619,2020-01-23T00:00:00Z
screen,1604,2020-01-23T00:00:00Z
read,1574,2020-01-23T00:00:00Z
safe,1547,2020-01-23T00:00:00Z
6,1528,2020-01-23T00:00:00Z
worried,1522,2020-01-23T00:00:00Z
stocks,1519,2020-01-23T00:00:00Z
sick,1502,2020-01-23T00:00:00Z
rises,1497,2020-01-23T00:00:00Z
eating,1492,2020-01-23T00:00:00Z
south,1492,2020-01-23T00:00:00Z
australia,1487,2020-01-23T00:00:00Z
panic,1478,2020-01-23T00:00:00Z
day,1470,2020-01-23T00:00:00Z
9,1459,2020-01-23T00:00:00Z
situation,1451,2020-01-23T00:00:00Z
watch,1448,2020-01-23T00:00:00Z
sarslike,1446,2020-01-23T00:00:00Z
lunar,1434,2020-01-23T00:00:00Z
ncov2019,1395,2020-01-23T00:00:00Z
singapore,1381,2020-01-23T00:00:00Z
major,1379,2020-01-23T00:00:00Z
viruses,1373,2020-01-23T00:00:00Z
died,1372,2020-01-23T00:00:00Z
home,1369,2020-01-23T00:00:00Z
started,1367,2020-01-23T00:00:00Z
protect,1359,2020-01-23T00:00:00Z
prevent,1357,2020-01-23T00:00:00Z
4,1326,2020-01-23T00:00:00Z
jan,1323,2020-01-23T00:00:00Z
week,1307,2020-01-23T00:00:00Z
family,1305,2020-01-23T00:00:00Z
seattle,1301,2020-01-23T00:00:00Z
residents,1300,2020-01-23T00:00:00Z
taiwan,1300,2020-01-23T00:00:00Z
information,1293,2020-01-23T00:00:00Z
including,1292,2020-01-23T00:00:00Z
