word1,n,date
covid,185180,2021-09-04T00:00:00Z
covid19,49359,2021-09-04T00:00:00Z
pandemic,49151,2021-09-04T00:00:00Z
people,42017,2021-09-04T00:00:00Z
,39393,2021-09-04T00:00:00Z
vaccine,25564,2021-09-04T00:00:00Z
dont,21280,2021-09-04T00:00:00Z
lockdown,19358,2021-09-04T00:00:00Z
im,18734,2021-09-04T00:00:00Z
vaccinated,17515,2021-09-04T00:00:00Z
time,12350,2021-09-04T00:00:00Z
deaths,11876,2021-09-04T00:00:00Z
health,11060,2021-09-04T00:00:00Z
vaccines,10773,2021-09-04T00:00:00Z
quarantine,10617,2021-09-04T00:00:00Z
day,10104,2021-09-04T00:00:00Z
coronavirus,9540,2021-09-04T00:00:00Z
children,8914,2021-09-04T00:00:00Z
school,8646,2021-09-04T00:00:00Z
kids,8645,2021-09-04T00:00:00Z
2,8230,2021-09-04T00:00:00Z
days,7902,2021-09-04T00:00:00Z
virus,7722,2021-09-04T00:00:00Z
due,7597,2021-09-04T00:00:00Z
vaccination,7315,2021-09-04T00:00:00Z
test,7205,2021-09-04T00:00:00Z
death,7196,2021-09-04T00:00:00Z
hospital,7153,2021-09-04T00:00:00Z
mask,7145,2021-09-04T00:00:00Z
positive,7089,2021-09-04T00:00:00Z
ivermectin,6907,2021-09-04T00:00:00Z
care,6836,2021-09-04T00:00:00Z
home,6785,2021-09-04T00:00:00Z
doesnt,6716,2021-09-04T00:00:00Z
world,6586,2021-09-04T00:00:00Z
died,6526,2021-09-04T00:00:00Z
didnt,6460,2021-09-04T00:00:00Z
life,6287,2021-09-04T00:00:00Z
1,6080,2021-09-04T00:00:00Z
youre,6069,2021-09-04T00:00:00Z
stop,5881,2021-09-04T00:00:00Z
risk,5879,2021-09-04T00:00:00Z
news,5864,2021-09-04T00:00:00Z
government,5860,2021-09-04T00:00:00Z
die,5814,2021-09-04T00:00:00Z
masks,5735,2021-09-04T00:00:00Z
week,5733,2021-09-04T00:00:00Z
ive,5553,2021-09-04T00:00:00Z
safe,5504,2021-09-04T00:00:00Z
3,5466,2021-09-04T00:00:00Z
unvaccinated,5436,2021-09-04T00:00:00Z
spread,5372,2021-09-04T00:00:00Z
isnt,5269,2021-09-04T00:00:00Z
data,5204,2021-09-04T00:00:00Z
patients,5166,2021-09-04T00:00:00Z
country,5093,2021-09-04T00:00:00Z
months,5072,2021-09-04T00:00:00Z
family,4779,2021-09-04T00:00:00Z
variant,4769,2021-09-04T00:00:00Z
delta,4733,2021-09-04T00:00:00Z
flu,4724,2021-09-04T00:00:00Z
live,4697,2021-09-04T00:00:00Z
wont,4669,2021-09-04T00:00:00Z
sick,4656,2021-09-04T00:00:00Z
lives,4547,2021-09-04T00:00:00Z
tested,4480,2021-09-04T00:00:00Z
bad,4444,2021-09-04T00:00:00Z
dying,4388,2021-09-04T00:00:00Z
public,4378,2021-09-04T00:00:00Z
schools,4364,2021-09-04T00:00:00Z
times,4310,2021-09-04T00:00:00Z
hospitals,4165,2021-09-04T00:00:00Z
taking,4104,2021-09-04T00:00:00Z
hope,4035,2021-09-04T00:00:00Z
lot,4002,2021-09-04T00:00:00Z
real,3998,2021-09-04T00:00:00Z
theyre,3995,2021-09-04T00:00:00Z
weeks,3964,2021-09-04T00:00:00Z
uk,3945,2021-09-04T00:00:00Z
feel,3932,2021-09-04T00:00:00Z
medical,3898,2021-09-04T00:00:00Z
daily,3799,2021-09-04T00:00:00Z
free,3798,2021-09-04T00:00:00Z
lost,3715,2021-09-04T00:00:00Z
read,3688,2021-09-04T00:00:00Z
rate,3682,2021-09-04T00:00:00Z
4,3677,2021-09-04T00:00:00Z
person,3676,2021-09-04T00:00:00Z
shot,3645,2021-09-04T00:00:00Z
vax,3634,2021-09-04T00:00:00Z
texas,3527,2021-09-04T00:00:00Z
treatment,3496,2021-09-04T00:00:00Z
symptoms,3451,2021-09-04T00:00:00Z
florida,3444,2021-09-04T00:00:00Z
stay,3442,2021-09-04T00:00:00Z
start,3412,2021-09-04T00:00:00Z
trump,3359,2021-09-04T00:00:00Z
10,3338,2021-09-04T00:00:00Z
hes,3332,2021-09-04T00:00:00Z
testing,3307,2021-09-04T00:00:00Z
ill,3304,2021-09-04T00:00:00Z
students,3273,2021-09-04T00:00:00Z
love,3268,2021-09-04T00:00:00Z
money,3256,2021-09-04T00:00:00Z
shit,3219,2021-09-04T00:00:00Z
arent,3217,2021-09-04T00:00:00Z
19,3216,2021-09-04T00:00:00Z
tests,3180,2021-09-04T00:00:00Z
hard,3116,2021-09-04T00:00:00Z
restrictions,3116,2021-09-04T00:00:00Z
2020,3103,2021-09-04T00:00:00Z
child,3028,2021-09-04T00:00:00Z
worse,3026,2021-09-04T00:00:00Z
2021,3014,2021-09-04T00:00:00Z
control,3012,2021-09-04T00:00:00Z
media,2997,2021-09-04T00:00:00Z
system,2959,2021-09-04T00:00:00Z
12,2934,2021-09-04T00:00:00Z
started,2916,2021-09-04T00:00:00Z
immunity,2915,2021-09-04T00:00:00Z
job,2879,2021-09-04T00:00:00Z
parents,2861,2021-09-04T00:00:00Z
wait,2861,2021-09-04T00:00:00Z
million,2853,2021-09-04T00:00:00Z
support,2846,2021-09-04T00:00:00Z
jab,2841,2021-09-04T00:00:00Z
report,2818,2021-09-04T00:00:00Z
countries,2801,2021-09-04T00:00:00Z
science,2797,2021-09-04T00:00:00Z
wear,2781,2021-09-04T00:00:00Z
australia,2776,2021-09-04T00:00:00Z
study,2744,2021-09-04T00:00:00Z
disease,2735,2021-09-04T00:00:00Z
nsw,2735,2021-09-04T00:00:00Z
population,2729,2021-09-04T00:00:00Z
cdc,2694,2021-09-04T00:00:00Z
friends,2686,2021-09-04T00:00:00Z
protect,2683,2021-09-04T00:00:00Z
told,2682,2021-09-04T00:00:00Z
healthy,2673,2021-09-04T00:00:00Z
americans,2669,2021-09-04T00:00:00Z
horse,2666,2021-09-04T00:00:00Z
